"SITE_ID","CatAreaSqKm","WsAreaSqKm","CatAreaSqKmRp100","WsAreaSqKmRp100","HydrlCondWs","OMHWs","RdDensWs","RdDensWsRp100","RdDens_WS_PctFull","RdDens_RipBuf100_WS_PctFullRp100","DamDensWs","DamNIDStorWs","DamNrmStorWs","NABD_DensWs","NABD_NIDStorWs","NABD_NrmStorWs","MineDensWs","MineDensWsRp100","AgKffactWs","FertWs","ManureWs","NPDESDensWs","NPDESDensWsRp100","SuperfundDensWs","HUDen2010Ws","HUDen2010WsRp100","PopDen2010Ws","PopDen2010WsRp100","PctOw2013Ws","PctIce2013Ws","PctUrbOp2013Ws","PctUrbLo2013Ws","PctUrbMd2013Ws","PctUrbHi2013Ws","PctDecid2013Ws","PctConif2013Ws","PctMxFst2013Ws","PctShrb2013Ws","PctGrs2013Ws","PctHay2013Ws","PctCrop2013Ws","PctWdWet2013Ws","PctHbWet2013Ws","PctOw2013_WsRp100","PctIce2013_WsRp100","PctUrbOp2013_WsRp100","PctUrbLo2013_WsRp100","PctUrbMd2013_WsRp100","PctUrbHi2013_WsRp100","PctDecid2013_WsRp100","PctConif2013_WsRp100","PctMxFst2013_WsRp100","PctShrb2013_WsRp100","PctGrs2013_WsRp100","PctHay2013_WsRp100","PctCrop2013_WsRp100","PctWdWet2013_WsRp100","PctHbWet2013_WsRp100","PctFrstLoss2013Ws","PctFrstLoss2013WsRp100","PctImp2013Ws","PctImp2013_RipBuf100WsRp100","BFIWs","BFI_WS_PctFull","PctNOT_PRINCIPLEWs","PctSANDSTONEWs","PctSEMICONSOL_SANDWs","PctVOLCANICWs","PctSANDSTONE_CARBONATEWs","PctUNCONSOL_SAND_GRAVELWs","PctCARBONATEWs","ClayWs","PctCarbResidWs","PctNonCarbResidWs","PctAlkIntruVolWs","PctSilicicWs","PctExtruVolWs","PctColluvSedWs","PctGlacTilClayWs","PctGlacTilLoamWs","PctGlacTilCrsWs","PctGlacLakeCrsWs","PctGlacLakeFineWs","PctHydricWs","PctEolCrsWs","PctEolFineWs","PctSalLakeWs","PctAlluvCoastWs","PctCoastCrsWs","PctWaterWs","ElevWs","PermWs","KffactWs","Kffact_PT","LSTFRZWs","LSTFRZ_PT","RDHWs","RDH_PT","RHMEANWs","RHMEAN_PT","RunoffWs","WDMAX_PT","WDMIN_PT","WDSUM_PT","PMAXWs","PMINWs","Precip8110Ws","Tmax8110Ws","Tmean8110Ws","Tmin8110Ws","Precip08Ws","Precip09Ws","TMEAN_S_2013Ws","TMEAN_S_2013_PT","TMEAN_S_2014Ws","TMEAN_S_2014_PT","TMEAN_W_2013Ws","TMEAN_W_2013_PT","TMEAN_W_2014Ws","TMEAN_W_2014_PT","TMEAN_PW_2013Ws","TMEAN_PW_2013_PT","TMEAN_PW_2014Ws","TMEAN_PW_2014_PT","TMEAN_SY_2013Ws","TMEAN_SY_2013_PT","TMEAN_SY_2014Ws","TMEAN_SY_2014_PT","PSUMPY_2013Ws","PSUMPY_2013_PT","PSUMPY_2014Ws","PSUMPY_2014_PT","MAST_2013","MAST_2014","MSST_2013","MSST_2014","MWST_2013","MWST_2014"
"ALR9-0901",0.3051,4785.6267,0.0108,967.8258,5.485991805,0.754988663,1.713429789,1.744430652,100,98.41690519,0.005641894,28192.86121,21241.17209,0.004597099,184804.4604,105072.5477,0.001462713,0,0.139021613,14.24342555,4.668090743,0.001044795,0.003099731,0.000208959,11.19999012,10.15262255,24.34776574,21.96341482,1.397459605,0,5.020063516,1.59898807,0.608459494,0.196394341,39.97171154,2.389267011,3.80109464,1.251372156,1.191492851,32.52382807,8.869020227,1.036510014,0.09057121,0.763649822,0,6.773904973,1.525532797,0.541678058,0.143393574,33.67312589,1.894617812,4.910439461,1.132641845,0.974834521,37.27498275,7.823133047,2.330006082,0.179102479,0.108155114,0.080252045,1.364066926,1.315412856,34.74603521,100,59.30082261,3.233557686,0,0,15.37730262,0,22.08831708,34.06984825,88.32176776,3.422185019,0,0,0,3.493122437,0,0,0,0,0,0,0,0,0,2.375218694,0,2.387706087,288.4620352,5.075628031,0.327853412,35,102.5788279,99,0,60,0,71,665.6363382,10,6,104,0,0,1449.034077,20.97818885,14.75025274,-1.70289052,1350.577287,1545.770873,23.699324,24.29298973,23.84000527,24.52155113,5.22919066,6.003133774,1.357202877,2.179988623,6.134440262,6.810279369,2.489340151,3.244033098,14.10670297,14.79566574,13.87660307,14.73533058,1587.93458,1546.95166,1587.93458,1546.95166,15.33318593,15.32858656,24.38117924,24.40424273,6.956220402,4.173375717
"ALS9-0916",3.3768,3.3768,0.5832,0.5832,0.106882134,0.604456833,0.694284852,0.850864261,100,100,0,0,0,0,0,0,0,0,0.033366205,2.987206823,18.29664179,0,0,0,4.783582465,4.783582465,8.501662917,8.501662917,0.159914712,0,2.158848614,1.385927505,0.026652452,0,24.46695096,42.21748401,4.850746269,13.51279318,2.318763326,8.68869936,0,0.213219616,0,0,0,1.543209877,0.925925926,0,0,33.48765432,46.75925926,7.098765432,0.462962963,0,8.487654321,0,1.234567901,0,0,0,0.616471215,0.401234568,51,100,0,0,0,100,0,0,0,30.6449467,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.5588886,7.367857143,0.269701493,26,96.09701493,96,0,60,0,68,533,10,5,98,0,0,1359.574208,22.60752474,15.96515554,9.317308513,1283.70966,1785.939605,24.41761697,24.47142982,25.26586786,25.38315201,8.23726291,8.301768303,3.559070139,3.788691521,8.401111015,8.493294716,5.053992867,5.232668877,15.83555523,15.90596104,15.31978176,15.48014832,1375.979802,1365.083618,1375.979802,1365.083618,14.70897804,14.70200249,20.28294478,20.74705822,7.691840362,4.712421613
"ALR9-0902",2.9646,922.6674,1.1061,211.4514,43.04358724,1.040019961,1.67515193,1.328038968,100,98.59159126,0.028179168,14250.96064,11107.99549,0.022760098,13431.46356,10507.74396,0.001083814,0,0.028155544,6.214844916,0,0.001083814,0,0,27.99522904,20.93288011,60.48488154,46.06893488,0.876328783,0,4.801470172,3.944454957,1.753925629,0.618521907,10.30027722,24.05241585,21.00467622,5.396679237,2.214329887,9.731014665,1.923455841,12.57888812,0.365299565,0.447336835,0,3.33480885,2.014931091,0.764430976,0.156631737,13.46139113,12.4483924,21.79777481,3.409294051,1.346266802,5.878797681,0.840618695,33.10122326,0.783584313,0.62486222,0.593327829,3.284941464,1.479301627,43.84580457,100,0,0,89.26682573,10.73317427,0,0,0,27.72830651,0,38.85587591,0,0,0,0,0,0,0,0,0,0,0,0,0,61.14412409,0,0,137.0394235,6.493365438,0.220153436,26,80.91537048,83,0,60,0,70,455.9221527,11,5,98,0,0,1318.13402,24.0292769,17.54616034,1.407288187,1216.654561,1907.089603,25.03953081,25.01788139,25.92187054,25.86048698,9.931376313,9.929253578,6.147744819,6.140737534,10.19172653,10.31540871,7.362140653,7.329305649,17.1552838,17.20961761,16.84073011,16.87658119,1386.665978,1307.81604,1386.665978,1307.81604,17.2256425,16.92401292,25.01812218,25.28239993,9.626998083,7.936155318
"ALR9-0903",2.6055,1614.2913,0.288,353.6046,18.33455709,0.836068409,1.306251432,1.123546277,100,99.19978417,0.014247738,2170.808131,1835.368226,0.011769871,1772.712025,1518.266722,0.000619467,0,0.024324205,4.635223457,0,0.000619467,0,0,5.412042777,5.442035968,10.90729917,10.94506224,0.391657937,0,3.190855331,0.877425283,0.237503603,0.103754508,2.379997959,38.91858923,12.30653352,11.58064223,4.53916217,7.947450377,1.728424108,15.17625722,0.375935867,0.297281201,0,1.707839774,0.386618274,0.097736285,0.015016773,2.219937184,25.01819829,16.75337368,6.763910877,2.507292043,3.339577596,0.41512469,39.53254567,0.810396697,1.503185949,1.073062964,0.715397648,0.290762903,48.30836052,100,12.84905642,0,49.07694169,0,0,15.11855388,22.955448,26.54584338,34.52477257,48.95930493,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5159225,0,0,85.51686616,6.533377781,0.221616045,25,79.54792304,83,0,60,0,69,571.5082756,13,5,101,0,0,1580.227938,24.9879739,18.46620555,2.472644156,1434.969058,2252.780245,26.09276106,26.58973312,26.77474212,26.88723373,11.58175495,12.45695877,7.485926003,8.065156937,11.69155985,12.49864101,8.507977187,9.102617264,18.32734957,18.91340828,17.89943458,18.20100021,1695.976465,1635.351929,1695.976465,1635.351929,17.48799681,17.09761667,25.65702115,25.73736198,10.38702127,8.926678495
"ALS9-0917",1.7154,169.8075,0.2061,26.4933,0.893155051,1.346137882,1.611270121,1.352128706,100,100,0.005889021,4721.593569,1583.549843,0.005889021,4721.593569,1583.549843,0,0,0.073226395,9.383755134,7.546097787,0,0,0,13.45910071,12.82048206,31.2405054,29.63292825,0.295746654,0,4.18444415,1.949913873,0.363588181,0.031800716,49.79197032,6.501656287,5.920233205,2.729561415,1.011262753,25.14747582,0.368358288,1.648337088,0.028620644,0.207222203,0,2.075619119,1.12783232,0.241193056,0.003397085,57.25107857,4.91558243,5.642558685,2.724462411,0.380473554,15.67754866,0.39745898,9.209498251,0.122295071,0.400689016,0.197030947,1.128087982,0.638889833,42.08953491,100,0,0,0,0,100,0,0,35.89679401,18.61454883,65.91334305,0,0,0,0,0,0,0,0,0,0,0,0,0,15.47210812,0,0,214.2120158,3.670184603,0.289769127,35,97.30489996,93,0,63,0,70,654.9624593,10,6,100,0,0,1456.104387,21.89321109,15.72603808,-1.640210434,1361.870133,1595.587776,24.5774519,24.79613876,24.14472875,24.61419678,6.481663225,6.625844955,2.544754163,2.693009138,7.184391455,7.338426113,3.555641355,3.706816196,15.03688642,15.27890396,14.7042977,14.98198605,1399.644281,1403.183594,1399.644281,1403.183594,15.46795892,15.42228644,23.56800897,23.53998803,7.847766871,5.532481457
"ALS9-0918",3.0861,6.462,0.5364,1.4733,0.126488666,0.625831575,1.741387968,1.494422011,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455106535,1.455106535,2.157075511,2.157075511,0,0,3.551532033,0.250696379,0.013927577,0,17.21448468,67.74373259,6.420612813,3.704735376,0.501392758,0.08356546,0,0.515320334,0,0,0,3.176542456,0,0,0,28.46670739,53.32926084,10.69028711,1.954795357,0,0.12217471,0,2.260232132,0,0.724233983,0.427611484,0.236768802,0.109346365,49,100,0,0,0,100,0,0,0,20.17828691,0,76.47632312,0,23.52367688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.2851574,14.5995961,0.234568245,26,90.56824513,91,0,47.4701004,0,69,577,10,5,98,0,0,1359.421149,23.47168648,16.97346208,5.117195009,1440.909028,2182.779727,25.07304169,25.05595207,26.36450341,26.35559082,9.134900918,9.109068871,5.772053096,5.753518105,9.500743282,9.475302696,6.839297768,6.81948328,16.77204431,16.74895096,16.94330703,16.93026352,1758.974618,1760.025146,1758.974618,1760.025146,15.07864018,15.46552011,20.50760762,20.89095242,8.788620474,6.331120075
"ALS9-0919",4.6053,4.6053,0.6678,0.6678,30.64219234,0.294999987,1.199311233,1.715491005,100,100,0,0,0,0,0,0,0,0,0.001074849,0.064490913,0.004299394,0,0,0,2.386608853,2.386608853,5.716846131,5.716846131,0,0,5.647840532,0,0,0,32.49951143,20.69572015,32.49951143,5.745554036,0.293140512,0.449482118,0,2.130154387,0.039085402,0,0,7.142857143,0,0,0,32.74932615,11.05121294,30.59299191,2.830188679,0,2.291105121,0,13.07277628,0.269541779,0.23451241,0.134770889,0.100644909,0.148247978,39.63435607,100,0,0,100,0,0,0,0,25.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,102.8769416,6.3,0.25,25,80.95915576,81,0,60,0,70,652,11,5,99,0,0,1373.001467,23.93005823,17.30087514,10.66591922,1250.082766,1911.230868,25.5883104,25.59210396,26.28295276,26.28164291,8.888023342,8.890031815,5.115558658,5.122833729,9.419340484,9.423121452,6.206573561,6.212155342,16.7902651,16.79222679,16.75247395,16.75401115,1705.343917,1703.651978,1705.343917,1703.651978,15.94069625,15.92383705,22.17686919,22.32949896,8.319159109,6.022245716
"ALR9-0904",1.3374,527.1615,0.1359,98.0847,0.105066411,0.845159403,3.777687107,3.452210902,100,98.46765092,0.06070246,88079.05668,76510.82737,0.055011605,86740.66122,75511.71047,0.005690856,0,0.021922832,1.283662407,3.096185135,0.007587808,0.01019527,0.015175615,87.36342551,73.54165838,198.0190952,170.7534667,1.502898068,0,13.32428487,9.452397415,5.808940903,1.252955688,40.06094906,9.675877317,8.109640025,2.556104723,1.670209224,5.704115342,0.006829027,0.539663841,0.029876992,1.065303763,0,10.05753191,6.199131975,4.260297478,1.091913418,47.77901141,7.815897892,10.37317747,1.608507749,1.13503941,5.940376022,0.005505446,2.153546883,0.083499261,0.236796504,0.123872531,8.769395716,6.308011341,37.48393386,100,0,0,0,0,100,0,0,28.63458047,41.45816794,58.54183206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.3868454,4.255443247,0.30913647,31,94.9936473,92,0,40.36000061,0,69,573.8750032,10,5,99,0,0,1426.093682,22.74260618,16.63438511,-0.104430477,1472.52761,2022.100365,25.25165525,25.61792564,25.96293909,26.3514061,8.123431403,8.83241272,4.587525689,5.253941536,8.70399536,9.332660675,5.669831949,6.310240269,16.37267338,16.88756752,16.3088189,16.75259399,1705.420487,1640.659546,1705.420487,1640.659546,16.68222272,16.50491789,24.48880958,24.88520826,8.295733151,7.254417123
"ALR9-0905",1.1079,1778.634,0.1692,354.555,14.55753905,0.568135649,1.214886337,0.946871634,100,99.06282523,0.008433438,1534.018668,1174.786448,0.006184521,1332.210607,1066.600683,0,0,0.035479461,18.66102638,1.657069414,0,0,0,5.856207809,5.641737195,13.35441718,12.86667443,0.634481293,0,3.352241102,1.251808973,0.281592503,0.063453189,3.549279953,28.32506856,17.50872861,8.321374718,3.172912471,11.62306579,10.32657646,11.17808386,0.258366814,0.483310065,0,1.602995304,0.397004696,0.075136439,0.007869019,4.876507171,18.28607691,24.09468207,5.417184922,2.024622414,4.323898972,2.336083259,35.42759233,0.562000254,1.816309595,1.419469476,0.824271098,0.256583323,48.71259399,100,0,0,100,0,0,0,0,22.48728579,7.619139182,77.51262486,0,0,0,0,0,0,0,0,0,0,0,0,0,14.86823596,0,0,114.3403729,11.46869078,0.173597887,15,73.8904967,72,0,60,0,72,492.4903327,12,4,98,0,0,1368.474931,24.92862238,18.62741617,2.660405299,1457.632963,1906.077927,26.06008047,26.40870667,26.85505998,27.13675499,11.94080691,12.3394289,7.88991707,8.26328373,11.98836702,12.29841518,9.087428605,9.48069191,18.49526808,18.87364388,17.97579226,18.22739792,1423.965419,1599.862427,1423.965419,1599.862427,17.56259761,17.2118926,25.46783133,25.88022949,10.18977131,8.88410088
"ALR9-0906",3.3867,467.8479,0.6489,100.2051,15.93407322,0.566041632,0.698719418,0.554988138,100,100,0.002137447,145.0073838,139.734388,0,0,0,0,0,0.002611907,0.280945153,0,0,0,0,2.277540148,2.204282486,4.142259985,4.045913445,0.088875038,0,2.091833692,0.254505791,0.059442396,0.005193996,1.102666059,46.15519275,15.13626544,14.01301577,8.211899637,0.849122119,0.002500813,11.68514383,0.340495276,0.027842894,0,1.038270507,0.093408419,0.013472368,0,0.888278142,34.61680094,16.8557289,11.22697348,5.341344902,0.234419206,0,28.81021026,0.848759195,2.038931884,1.975947332,0.200297789,0.07122392,35.20099994,100,0,0,100,0,0,0,0,26.0640522,8.075893896,78.55495344,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36915267,0,0,66.68052663,7.783095737,0.246802095,35,84.39869111,83,0,37.20000076,0,70,552.5223448,11,4,97,0,0,1424.497877,24.87176071,18.11724437,1.799373156,1332.413166,2010.818159,26.05868118,26.35270882,26.32836186,26.5714798,10.46903625,10.63785076,6.648984911,6.669913292,10.68271057,10.81777,7.525275813,7.529459953,17.64109665,17.84021759,17.31502209,17.41072464,1772.873361,1732.974121,1772.873361,1732.974121,17.36995711,17.29319353,25.48681556,25.56341336,9.559894727,8.150151809
"ALS9-0920",2.9223,2.9223,0.4509,0.4509,6.648877987,1.162174866,0.788688921,1.207591722,100,100,0,0,0,0,0,0,0,0,0.000184786,0.006775485,0,0,0,0,2.111832026,2.057672158,4.657487241,4.480126388,0,0,1.9710502,0.277178934,0.030797659,0,9.516476748,23.8065907,8.500153988,27.37911919,18.13982137,0.246381275,0,9.639667385,0.49276255,0,0,1.796407186,0,0,0,7.984031936,5.588822355,5.788423154,17.96407186,20.55888224,0,0,39.32135729,0.998003992,0,0,0.214351709,0.061876248,25.06559901,100,89.92916538,0,10.07083462,0,0,0,0,40.51486295,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.36279951,1.684388666,0.291795504,30,81.68001232,82,0,59.21468735,0,70,492,11,5,100,0,0,1364.622183,24.38932434,17.91490564,11.4348445,1298.975893,1790.824833,25.66644366,25.66099548,26.2584629,26.30670929,9.923806928,9.965191841,6.384985509,6.401885986,10.25727529,10.30337811,7.243551957,7.274466515,17.21278617,17.23689461,17.11660992,17.13933563,1707.223432,1719.181885,1707.223432,1719.181885,17.02575602,16.96796253,21.62685978,21.65125818,8.309005671,7.32082108
"ALS9-0921",3.4317,21.2391,0.3582,4.0977,5.456729356,0.620999992,1.103433726,0.704363754,100,93.08148474,0.094165949,15448.19131,15041.65996,0.094165949,15448.19131,15041.65996,0,0,0.003025552,0.427136743,0.114411628,0,0,0,2.133209489,2.011920621,3.889187394,3.597367361,0.889868215,0,4.245942625,0.589008009,0.076274418,0.004237468,5.635832027,50.78181279,21.41192423,7.15284546,3.436586296,2.233145472,0,3.525573118,0.008474935,0.329453108,0,2.92115089,0.109817703,0.021963541,0,7.489567318,32.791566,35.60289919,3.382385241,0.395343729,0.329453108,0,16.62640018,0,4.589177508,1.010322864,0.384931565,0.125192181,41.10322471,100,0,0,100,0,0,0,0,21.39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.2435417,7.41,0.17,17,77.94313318,77,0,60,0,70,470.6781643,11,4,93,0,0,1365.412013,24.409648,18.0137139,4.087084065,1461.91979,1933.933939,25.35228563,25.49058723,26.01527587,26.18873405,10.91729951,11.01936245,7.009581846,7.146070004,11.05164235,11.14344501,8.185867318,8.308948517,17.58930104,17.73304939,17.21703056,17.33682251,1517.074848,1497.694946,1517.074848,1497.694946,16.74512003,16.59612041,23.18494358,23.28273353,9.081815957,7.679338017
"ALS9-0922",1.1097,220.0617,0.504,53.4663,4.736234472,0.42101441,1.363557102,1.23307447,100,98.14836635,0.00454418,254025.6374,118268.7764,0.00454418,254025.6374,118268.7764,0,0,0.038524618,3.631913232,18.59539575,0,0,0,4.589136389,4.569952771,9.915508302,9.875536166,2.895960542,0,3.164248936,1.36720747,0.375031184,0.062164384,44.9579368,14.96730235,7.369342325,3.978111593,2.190885556,17.88166682,0.115331291,0.462552093,0.032718097,0.361910213,0,1.949265238,0.632922046,0.173380241,0.02019964,64.92164223,8.046189843,7.248304072,4.061810898,1.395458448,9.056171832,0.038715976,1.79271803,0.095948289,1.418738472,0.6093558,0.902974484,0.421179322,43.15401635,100,48.16512823,0.199171414,51.63570035,0,0,0,0,20.76402093,0,53.88547848,0,0,0,0,0,0,0,0,0,0,0,0,0,46.11452152,0,0,239.4478953,7.649241022,0.258120795,26,96.59755105,93,0,57.69084167,0,69,652,10,5,98,0,0,1492.179619,21.73694555,15.68327774,-1.544429327,1300.747188,1563.110158,24.349048,24.80255508,23.90092679,24.23884583,6.389246446,6.406404018,2.442666345,2.395733356,7.085435896,7.123758316,3.456226893,3.442413807,14.84283485,15.09162998,14.53077841,14.70757961,1473.491106,1441.269409,1473.491106,1441.269409,15.36525866,15.33778498,24.37789305,24.18048712,7.642983152,4.737242743
"ALS9-0923",0.8055,0.8055,0.3141,0.3141,0.129176427,0.944285531,0.386660866,0.542112403,100,100,0,0,0,0,0,0,0,0,0.004502793,0.334078212,1.684916201,0,0,0,6.86858738,6.86858738,14.99723935,14.99723935,0,0,0,0,0,0,72.51396648,10.5027933,2.122905028,0.335195531,14.52513966,0,0,0,0,0,0,0,0,0,0,80.51575931,9.169054441,0.859598854,0,9.455587393,0,0,0,0,0,0,0,0,41.45921788,100,0,0,0,0,100,0,0,25.78,16.64804469,83.35195531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.8969609,4.08,0.31,31,96.4122905,96,0,40.36000061,0,69,639,10,5,96,0,0,1385.174466,22.58851221,16.09685353,9.601767255,1418.605889,1925.241091,24.78099244,24.83863831,25.50803087,25.5554142,7.482280969,7.534742832,4.086527594,4.14979887,8.082099473,8.131342888,5.130236502,5.195605278,15.77687411,15.82902527,15.70272531,15.75492382,1624.975114,1610.349487,1624.975114,1610.349487,15.15643918,15.166082,20.47068856,20.96639756,7.642241893,5.340568493
"ALLS-1037",6.4719,131.0265,0.7713,26.8848,10.91240235,0.532357687,1.62307237,1.285330024,100,100,0.022896132,2447.633112,1647.445364,0.022896132,2447.633112,1647.445364,0,0,0.049082666,16.03412439,10.33185424,0,0,0,5.938171658,5.536875214,12.53736258,11.62941594,0.665590548,0,4.531373424,2.021499468,0.519971151,0.065940859,0.516536731,29.48518048,6.198440773,12.30003091,3.434419755,15.8656455,12.49579284,10.91733352,0.95614246,0.244376004,0,2.329941082,0.512185324,0.137252276,0,0.686261382,28.04633101,11.68987681,7.953936797,3.210364221,8.459426888,2.915773969,33.22509373,0.589180503,0.951334272,0.52557579,1.319304873,0.362446438,46.2216918,100,3.629494797,0,22.148573,0,0,0,74.2219322,22.08989937,75.87938318,14.82158189,0,0,0,0,0,0,0,0,0,0,0,0,0,9.299034928,0,0,75.94869101,7.331295463,0.186846378,12,76.83305286,76,0,60,0,71,473.4665316,13,5,105,0,0,1514.006897,25.46779492,18.86400236,2.987270177,1380.676443,2203.082016,26.43556343,26.25204468,27.53677085,27.02897644,12.59021944,12.46597195,8.428536506,8.291695595,12.5177496,12.33362389,9.537764378,9.412463188,19.01001146,18.82332993,18.52185992,18.20892334,1381.530178,1451.692627,1381.530178,1451.692627,17.60614285,17.16201786,24.58245473,24.98823289,9.773998446,8.308911821
"ALLS-1039",2.5803,114.6879,0.2412,22.0698,18.61364017,0.813008581,1.64972328,1.466399035,100,100,0,0,0,0,0,0,0,0,0.016969419,1.781693622,2.309602844,0,0,0,2.856748611,2.79015394,5.532720912,5.408390099,0.331944346,0,3.860128226,1.00054147,0.284860042,0.069841718,3.906427792,55.68268318,11.09306213,4.497335813,4.905399785,5.420972919,0.003138954,8.723936876,0.090244917,0.077481445,0,1.888100481,0.362939401,0.15496289,0.040779708,5.668379414,43.59350787,14.94576299,2.703694642,3.902618057,2.675148846,0,23.84389528,0.077481445,3.393208874,2.499796101,0.788387441,0.329296142,38.40625123,100,0,0,100,0,0,0,0,31.16160283,0,93.89159624,0,0,0,0,0,0,0,0,0,0,0,0,0,6.108403764,0,0,103.9423987,4.790472962,0.257537255,25,81.39114501,81,0,60,0,70,500.9600254,13,5,101,0,0,1438.817738,24.83064096,18.18671783,3.017520918,1364.104,2066.712646,25.90534301,26.00853539,26.72364898,26.8777256,10.70200194,10.76722336,6.833011541,6.903501034,10.84879787,10.971838,7.941334518,8.082194328,17.84732713,17.92964935,17.50155657,17.58662605,1682.378308,1628.25061,1682.378308,1628.25061,17.1860248,17.05795296,24.27694443,24.65126147,9.08654538,7.84530657
"ALLS-1041",0.0018,112151.2338,NA,23826.1203,22.42915373,0.875203251,1.689584503,1.48097104,100,97.94233222,0.02462746,115238.0213,96602.15338,0.014792526,106760.4423,89024.82683,0.001275064,0,0.04593406,4.244900635,7.475536423,0.001328563,0.002308391,0.00197947,16.70570691,14.20522836,38.31309992,32.76166682,1.885517375,0,4.740821228,2.258778539,0.91740569,0.316208291,19.65209232,21.82793775,12.56020003,5.421887833,3.174289555,13.24908607,2.218031417,10.83612715,0.751579605,0.7888351,0,3.326734651,1.359946546,0.557796227,0.161697748,21.30977405,14.33761585,14.0690375,3.584755257,1.954107484,12.24697921,2.067666468,22.75445449,1.339318345,1.161594711,0.776120483,1.894826306,1.131046795,39.83518082,100,10.89173715,10.45543656,43.35976873,16.66042893,17.20890769,1.337369237,0.086351703,29.40487996,23.107056,51.57844541,0,4.42901699,0,1.290174928,0,0,0,0,0,0,0,0,0,18.84619873,0,0.736320299,154.0204747,4.987021313,0.280315565,0,89.60388215,59,0,-3.4e+38,0,73,577.8920229,13,5,107,0,0,1402.321067,23.29202329,16.86041132,0.199063142,1364.43125,1911.233989,25.25431201,27.13542747,25.62897215,27.69820023,8.389910459,12.45226479,4.729516838,8.51194191,8.876890023,12.63132763,5.777133858,9.489164352,16.36072787,19.36418724,16.16593469,18.73363495,1637.841844,1691.459717,1637.841844,1691.459717,17.66523065,17.45971385,25.09172862,25.24851397,9.302205806,8.45680687
"ALLS-1042",1.4454,260.3565,0.2763,44.2521,0.13363755,0.655736354,1.479258755,1.238956727,100,100,0.011522662,6983.30758,478.5034366,0.007681775,473.7657788,189.5063115,0,0,0.028992689,5.229728468,8.027571426,0,0,0,5.10135241,5.301172188,10.53980306,11.03161789,0.290716767,0,4.769345109,0.455951743,0.25856854,0.091605164,37.328586,28.80688594,5.906286188,4.236652436,3.594379245,12.65568557,0.00034568,1.522719809,0.040444544,0.140332323,0,3.217474425,0.185075962,0.117960504,0.010169009,48.12178405,16.15448758,7.931826964,2.432426936,2.615469096,12.36958246,0.002033802,6.502064309,0.164737945,1.607411376,0.602005329,0.614528925,0.27795969,51.59251603,100,0,0,0,100,0,0,0,26.239901,0,82.96040237,0,17.03959763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.1939444,7.157798745,0.261580276,26,95.57199647,93,0,50,0,68,533.8597335,11,5,102,0,0,1418.448836,22.65657385,16.07140279,-0.771037393,1377.991094,1892.416725,24.35602202,24.77655792,25.26827736,25.86004829,8.36284739,8.684853554,4.217656395,5.094995022,8.696055717,8.974522591,5.481168017,6.240395546,15.85612515,16.34149551,15.63296504,16.28758049,1469.427045,1399.123413,1469.427045,1399.123413,15.05960522,15.05638601,23.82183481,23.92077189,8.345054739,6.584493877
"ALRM-1001",4.9428,49444.3035,0.684,10093.5666,16.62661762,0.771827788,1.975562479,1.754530113,99.99797408,97.95171213,0.027910192,158981.0558,135706.4902,0.020609048,139494.2728,116845.9929,0.001941579,0,0.044976043,4.458628495,9.691461802,0.00177978,0.003665701,0.00317529,24.18358032,21.01252758,56.82033174,49.59429694,2.04834294,0,6.100991998,3.006825043,1.258081024,0.442124743,27.92849554,20.31354734,10.87243893,4.503851288,3.039115922,13.77735112,1.533348933,4.66363653,0.303639832,0.837150071,0,4.607691398,1.876483383,0.798131158,0.2476845,31.4263642,13.63865276,13.88655126,3.20979603,2.123597223,13.29390247,1.197040697,12.03975114,0.627815742,0.908192791,0.576170964,2.553024344,1.601869323,44.89490682,100,0,0.177075606,25.74424878,37.78974579,36.28892983,0,0,30.01426144,31.77700764,42.6884013,0,10.04604545,0,2.784751534,0,0,0,0,0,0,0,0,0,11.4544811,0,1.249312977,221.2696208,5.288003964,0.278562939,26,92.19181879,77,0,59.81896973,0,70,574.0293225,10,5,96,0,0,1370.354215,22.83300659,16.43451592,-0.058607631,1306.536388,1880.786666,24.75844108,25.47727203,25.40302416,26.39307404,8.128863974,9.789319992,4.557632202,6.293377399,8.595980109,10.08998871,5.696545367,7.215494633,16.02613866,17.08666611,15.89539085,17.11149597,1542.998712,1746.019409,1542.998712,1746.019409,16.68948866,16.68948866,24.29353502,24.92508799,8.615734412,7.60077811
